Algorithm,DatasetSize,Type,AverageTimeMS
BST,3000,linear,54.363
BST,6000,linear,176.034
BST,9000,linear,377.276
BST,12000,linear,665.719
BST,15000,linear,1028.72
BST,18000,linear,1564.32
BST,21000,linear,2033.76
BST,24000,linear,2961.92
BST,27000,linear,3564.89
BST,30000,linear,4605.91
BST,3000,random,28.6186
BST,6000,random,22.3374
BST,9000,random,23.9616
BST,12000,random,25.338
BST,15000,random,22.6552
BST,18000,random,28.4984
BST,21000,random,26.2336
BST,24000,random,31.0564
BST,27000,random,37.9958
BST,30000,random,33.4088
treap,3000,linear,55.4504
treap,6000,linear,25.9748
treap,9000,linear,29.7902
treap,12000,linear,33.4926
treap,15000,linear,34.666
treap,18000,linear,39.5584
treap,21000,linear,42.8316
treap,24000,linear,46.8652
treap,27000,linear,51.4538
treap,30000,linear,51.036
treap,3000,random,20.0062
treap,6000,random,27.0332
treap,9000,random,32.3764
treap,12000,random,35.0038
treap,15000,random,42.4446
treap,18000,random,45.5024
treap,21000,random,48.9686
treap,24000,random,52.2684
treap,27000,random,61.6404
treap,30000,random,64.5168
RBTree,3000,linear,20.1266
RBTree,6000,linear,19.6476
RBTree,9000,linear,20.053
RBTree,12000,linear,21.632
RBTree,15000,linear,23.8724
RBTree,18000,linear,23.0228
RBTree,21000,linear,22.65
RBTree,24000,linear,23.302
RBTree,27000,linear,25.222
RBTree,30000,linear,24.855
RBTree,3000,random,18.6416
RBTree,6000,random,20.9798
RBTree,9000,random,21.4146
RBTree,12000,random,21.6236
RBTree,15000,random,22.2426
RBTree,18000,random,24.8606
RBTree,21000,random,25.0222
RBTree,24000,random,26.7496
RBTree,27000,random,26.978
RBTree,30000,random,27.9536
